Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;200;400;100;0;0.125;45;25;70;60;0.075;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
43;378;213;184;0;0;0;0;0;0;0;0;1.127954;1.176057;2.150794;4.2723;NaN;NaN;0;0;0;0
44;378;213;184;1;0;0;0;0;0;0;0;1.127954;1.176057;2.219577;4.408451;1;NaN;0;0;1;0
45;376;213;184;2;0;0;0;0;0;0;0;1.128014;1.176057;2.303191;4.403756;45;NaN;0;0;2;0
46;376;215;185;0;0;0;0;0;0;0;0;1.128014;1.177262;2.375;4.506977;NaN;NaN;0;0;0;0
47;376;215;186;0;0;0;0;0;0;0;0;1.128014;1.177262;2.446809;4.651163;NaN;NaN;0;0;0;0
48;376;215;187;0;0;0;0;0;0;0;0;1.128014;1.177262;2.518617;4.795349;NaN;NaN;0;0;0;0
49;376;215;188;0;0;0;0;0;0;0;0;1.128014;1.177262;2.590425;4.939535;NaN;NaN;0;0;0;0
50;376;215;187;0;0;0;0;0;0;0;0;1.128014;1.177262;2.606383;5.083721;NaN;NaN;0;0;0;0
51;377;215;188;0;0;0;0;0;0;0;0;1.127852;1.177262;2.67374;5.227907;NaN;NaN;0;0;0;0
52;377;215;187;0;0;0;0;0;0;0;0;1.127852;1.177262;2.748011;5.372093;NaN;NaN;0;0;0;0
53;376;215;188;1;0;0;0;0;0;0;0;1.128014;1.177262;2.832447;5.516279;53;NaN;0;0;1;0
54;376;216;189;0;0;0;0;0;0;0;0;1.128014;1.178499;2.909575;5.638889;NaN;NaN;0;0;0;0
55;376;216;190;0;0;0;0;0;0;0;0;1.128014;1.178499;2.986702;5.787037;NaN;NaN;0;0;0;0
56;376;216;191;0;0;0;0;0;0;0;0;1.128014;1.178499;3.06383;5.935185;NaN;NaN;0;0;0;0
57;376;216;191;0;0;0;0;0;0;0;0;1.128014;1.178499;3.140957;6.083333;NaN;NaN;0;0;0;0
58;376;216;191;0;0;0;0;0;0;0;0;1.128014;1.178499;3.218085;6.231482;NaN;NaN;0;0;0;0
59;376;216;191;0;0;0;0;0;0;0;0;1.128014;1.178499;3.295213;6.37963;NaN;NaN;0;0;0;0
60;375;216;191;1;0;0;0;0;0;0;0;1.128178;1.178499;3.384;6.393518;60;NaN;0;0;1;0
61;375;217;191;0;0;0;0;0;0;0;0;1.128178;1.178188;3.464;6.511521;NaN;NaN;0;0;0;0
62;375;217;192;0;0;0;0;0;0;0;0;1.128178;1.178188;3.544;6.658986;NaN;NaN;0;0;0;0
63;375;217;193;0;0;0;0;0;0;0;0;1.128178;1.178188;3.624;6.806452;NaN;NaN;0;0;0;0
64;375;217;193;0;0;0;0;0;0;0;0;1.128178;1.178188;3.704;6.953917;NaN;NaN;0;0;0;0
65;375;217;194;0;0;0;0;0;0;0;0;1.128178;1.178188;3.784;7.101382;NaN;NaN;0;0;0;0
66;375;217;194;0;0;0;0;0;0;0;0;1.128178;1.178188;3.864;7.248848;NaN;NaN;0;0;0;0
67;375;217;195;0;0;0;0;0;0;0;0;1.128178;1.178188;3.944;7.396313;NaN;NaN;0;0;0;0
68;375;217;195;0;0;0;0;0;0;0;0;1.128178;1.178188;4.024;7.543779;NaN;NaN;0;0;0;0
69;375;217;195;0;0;0;0;0;0;0;0;1.128178;1.178188;4.104;7.691244;NaN;NaN;0;0;0;0
70;374;217;196;1;0;0;0;0;0;0;0;1.128075;1.178188;4.195187;7.83871;70;NaN;0;0;1;0
71;374;217;197;0;0;0;0;0;0;0;0;1.128075;1.178188;4.275401;7.990783;NaN;NaN;0;0;0;0
72;374;217;196;0;0;0;0;0;0;0;0;1.128075;1.178188;4.355615;8.142858;NaN;NaN;0;0;0;0
73;374;217;197;0;0;0;0;0;0;0;0;1.128075;1.178188;4.438503;8.29493;NaN;NaN;0;0;0;0
74;374;217;197;0;0;0;0;0;0;0;0;1.128075;1.178188;4.52139;8.447004;NaN;NaN;0;0;0;0
75;374;217;197;0;0;0;0;0;0;0;0;1.128075;1.178188;4.606952;8.599078;NaN;NaN;0;0;0;0
76;374;217;197;0;0;0;0;0;0;0;0;1.128075;1.178188;4.574866;8.751152;NaN;NaN;0;0;0;0
77;374;217;198;0;0;0;0;0;0;0;0;1.128075;1.178188;4.660428;8.903226;NaN;NaN;0;0;0;0
78;374;217;199;0;0;0;0;0;0;0;0;1.128075;1.178188;4.745989;9.0553;NaN;NaN;0;0;0;0
79;374;217;199;0;0;0;0;0;0;0;0;1.128075;1.178188;4.831551;9.207374;NaN;NaN;0;0;0;0
80;374;217;199;0;0;0;0;0;0;0;0;1.128075;1.178188;4.919786;9.359447;NaN;NaN;0;0;0;0
81;374;217;199;0;0;0;0;0;0;0;0;1.128075;1.178188;5.008021;9.51152;NaN;NaN;0;0;0;0
82;372;217;200;2;0;0;0;0;0;0;0;1.128136;1.178188;5.123656;9.663594;82;NaN;0;0;2;0
83;371;219;200;1;0;0;0;0;0;0;0;1.128033;1.179098;5.202157;9.73516;82;NaN;0;0;1;0
84;371;219;201;0;0;0;0;0;0;0;0;1.128033;1.179098;5.28841;9.899544;NaN;NaN;0;0;0;0
85;371;219;201;0;0;0;0;0;0;0;0;1.128033;1.179098;5.374663;10.06393;NaN;NaN;0;0;0;0
86;371;219;202;0;0;0;0;0;0;0;0;1.128033;1.179098;5.460917;10.22831;NaN;NaN;0;0;0;0
87;369;219;203;2;0;0;0;0;0;0;0;1.127823;1.179098;5.344173;10;87;NaN;0;0;2;0
88;369;220;204;0;0;0;0;0;0;0;0;1.127823;1.178788;5.428185;10.12273;NaN;NaN;0;0;0;0
89;369;220;205;0;0;0;0;0;0;0;0;1.127823;1.178788;5.512195;10.29091;NaN;NaN;0;0;0;0
90;369;220;206;0;0;0;0;0;0;0;0;1.127823;1.178788;5.596206;10.45909;NaN;NaN;0;0;0;0
91;369;220;205;0;0;0;0;0;0;0;0;1.127823;1.178788;5.680217;10.62727;NaN;NaN;0;0;0;0
92;369;220;206;0;0;0;0;0;0;0;0;1.127823;1.178788;5.766938;10.79545;NaN;NaN;0;0;0;0
93;369;220;207;0;0;0;0;0;0;0;0;1.127823;1.178788;5.853659;10.96364;NaN;NaN;0;0;0;0
94;369;220;207;0;0;0;0;0;0;0;0;1.127823;1.178788;5.791328;11.13182;NaN;NaN;0;0;0;0
95;370;220;208;0;0;0;0;0;0;0;0;1.127928;1.178788;5.862162;11.3;NaN;NaN;0;0;0;0
96;370;220;208;0;0;0;0;0;0;0;0;1.127928;1.178788;5.948648;11.46818;NaN;NaN;0;0;0;0
97;371;220;209;0;0;0;0;0;0;0;0;1.128122;1.178788;6.021564;11.63636;NaN;NaN;0;0;0;0
98;371;220;209;0;0;0;0;0;0;0;0;1.128122;1.178788;6.110512;11.80455;NaN;NaN;0;0;0;0
99;370;220;209;1;0;0;0;0;0;0;0;1.128199;1.178788;5.954054;11.97273;99;NaN;0;0;1;0
100;369;221;210;2;0;0;0;0;0;0;0;1.128094;1.179236;5.929539;12.0905;100;NaN;0;0;2;0
101;368;221;211;1;0;0;0;0;0;0;0;1.128261;1.179236;6.032609;12.27149;101;NaN;0;0;1;0
102;368;221;211;0;0;0;0;0;0;0;0;1.128261;1.179236;6.119565;12.45701;NaN;NaN;0;0;0;0
103;368;221;211;0;0;0;0;0;0;0;0;1.128261;1.179236;6.206522;12.64253;NaN;NaN;0;0;0;0
104;368;221;212;0;0;0;0;0;0;0;0;1.128261;1.179236;6.293478;12.82805;NaN;NaN;0;0;0;0
105;365;221;213;3;0;0;0;0;0;0;0;1.128676;1.179236;6.432877;12.74208;105;NaN;0;0;3;0
106;364;224;214;1;0;0;0;0;0;0;0;1.128572;1.178324;6.538462;12.76339;106;NaN;0;0;1;0
107;364;225;215;0;0;0;0;0;0;0;0;1.128572;1.178025;6.626374;12.90222;NaN;NaN;0;0;0;0
108;364;225;216;0;0;0;0;0;0;0;0;1.128572;1.178025;6.714286;13.09778;NaN;NaN;0;0;0;0
109;364;225;217;0;0;0;0;0;0;0;0;1.128572;1.178025;6.802198;13.29333;NaN;NaN;0;0;0;0
110;363;225;218;1;0;0;0;0;0;0;0;1.128742;1.178025;6.909091;13.48889;110;NaN;0;0;1;0
111;363;225;219;0;0;0;0;0;0;0;0;1.128742;1.178025;6.997245;13.68889;NaN;NaN;0;0;0;0
112;363;225;219;0;0;0;0;0;0;0;0;1.128742;1.178025;7.0854;13.88889;NaN;NaN;0;0;0;0
113;363;225;220;0;0;0;0;0;0;0;0;1.128742;1.178025;7.176309;14.08889;NaN;NaN;0;0;0;0
114;363;225;221;0;0;0;0;0;0;0;0;1.128742;1.178025;7.267218;14.28889;NaN;NaN;0;0;0;0
115;363;225;221;0;0;0;0;0;0;0;0;1.128742;1.178025;7.358127;14.48889;NaN;NaN;0;0;0;0
116;363;225;221;0;0;0;0;0;0;0;0;1.128742;1.178025;7.449036;14.68889;NaN;NaN;0;0;0;0
117;362;225;222;1;0;0;0;0;0;0;0;1.128914;1.178025;7.560773;14.88889;117;NaN;0;0;1;0
118;362;225;223;0;0;0;0;0;0;0;0;1.128914;1.178025;7.651934;15.09333;NaN;NaN;0;0;0;0
