Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;0;400;100;0;0.1;45;25;70;60;0.1;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
45;412;0;167;0;0;0;0;0;0;0;0;1.102673;NaN;2.589806;NaN;NaN;NaN;0;0;0;0
46;412;0;168;0;0;0;0;0;0;0;0;1.102673;NaN;2.657767;NaN;NaN;NaN;0;0;0;0
47;412;0;169;0;0;0;0;0;0;0;0;1.102673;NaN;2.725728;NaN;NaN;NaN;0;0;0;0
48;412;0;169;0;0;0;0;0;0;0;0;1.102673;NaN;2.793689;NaN;NaN;NaN;0;0;0;0
49;412;0;169;0;0;0;0;0;0;0;0;1.102673;NaN;2.86165;NaN;NaN;NaN;0;0;0;0
50;412;0;170;0;0;0;0;0;0;0;0;1.102673;NaN;2.932039;NaN;NaN;NaN;0;0;0;0
51;412;0;171;0;0;0;0;0;0;0;0;1.102673;NaN;3.002427;NaN;NaN;NaN;0;0;0;0
52;412;0;172;0;0;0;0;0;0;0;0;1.102673;NaN;3.072815;NaN;NaN;NaN;0;0;0;0
53;412;0;173;0;0;0;0;0;0;0;0;1.102673;NaN;3.143204;NaN;NaN;NaN;0;0;0;0
54;412;0;174;0;0;0;0;0;0;0;0;1.102673;NaN;3.213592;NaN;NaN;NaN;0;0;0;0
55;412;0;175;0;0;0;0;0;0;0;0;1.102673;NaN;3.283981;NaN;NaN;NaN;0;0;0;0
56;412;0;175;0;0;0;0;0;0;0;0;1.102673;NaN;3.354369;NaN;NaN;NaN;0;0;0;0
57;412;0;176;0;0;0;0;0;0;0;0;1.102673;NaN;3.424757;NaN;NaN;NaN;0;0;0;0
58;412;0;177;0;0;0;0;0;0;0;0;1.102673;NaN;3.495146;NaN;NaN;NaN;0;0;0;0
59;412;0;177;0;0;0;0;0;0;0;0;1.102673;NaN;3.565534;NaN;NaN;NaN;0;0;0;0
60;412;0;178;0;0;0;0;0;0;0;0;1.102673;NaN;3.63835;NaN;NaN;NaN;0;0;0;0
61;412;0;179;0;0;0;0;0;0;0;0;1.102673;NaN;3.711165;NaN;NaN;NaN;0;0;0;0
62;412;0;179;0;0;0;0;0;0;0;0;1.102673;NaN;3.783981;NaN;NaN;NaN;0;0;0;0
63;412;0;179;0;0;0;0;0;0;0;0;1.102673;NaN;3.856796;NaN;NaN;NaN;0;0;0;0
64;412;0;180;0;0;0;0;0;0;0;0;1.102673;NaN;3.929612;NaN;NaN;NaN;0;0;0;0
65;412;0;181;0;0;0;0;0;0;0;0;1.102673;NaN;4.002427;NaN;NaN;NaN;0;0;0;0
66;412;0;181;0;0;0;0;0;0;0;0;1.102673;NaN;4.075243;NaN;NaN;NaN;0;0;0;0
67;412;0;181;0;0;0;0;0;0;0;0;1.102673;NaN;4.148058;NaN;NaN;NaN;0;0;0;0
68;412;0;181;0;0;0;0;0;0;0;0;1.102673;NaN;4.220874;NaN;NaN;NaN;0;0;0;0
69;412;0;182;0;0;0;0;0;0;0;0;1.102673;NaN;4.293689;NaN;NaN;NaN;0;0;0;0
70;412;0;182;0;0;0;0;0;0;0;0;1.102673;NaN;4.366505;NaN;NaN;NaN;0;0;0;0
71;412;0;183;0;0;0;0;0;0;0;0;1.102673;NaN;4.441748;NaN;NaN;NaN;0;0;0;0
72;412;0;184;0;0;0;0;0;0;0;0;1.102673;NaN;4.51699;NaN;NaN;NaN;0;0;0;0
73;412;0;185;0;0;0;0;0;0;0;0;1.102673;NaN;4.592233;NaN;NaN;NaN;0;0;0;0
74;412;0;186;0;0;0;0;0;0;0;0;1.102673;NaN;4.667476;NaN;NaN;NaN;0;0;0;0
75;412;0;187;0;0;0;0;0;0;0;0;1.102673;NaN;4.742718;NaN;NaN;NaN;0;0;0;0
76;412;0;188;0;0;0;0;0;0;0;0;1.102673;NaN;4.817961;NaN;NaN;NaN;0;0;0;0
